frame,time_ms,hand_label,imu_roll,imu_pitch,imu_yaw,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z,index_abduction,index_dip_flex,index_mcp_flex,index_pip_flex,middle_abduction,middle_dip_flex,middle_mcp_flex,middle_pip_flex,pinky_abduction,pinky_dip_flex,pinky_mcp_flex,pinky_pip_flex,ring_abduction,ring_dip_flex,ring_mcp_flex,ring_pip_flex,thumb_abduction,thumb_cmc_flex,thumb_ip_flex,thumb_mcp_flex,wrist_pitch_from_camera,wrist_pitch_world,wrist_roll_from_camera,wrist_roll_world,wrist_yaw_world
45,694400.033,Right,-0.09107122370708012,0.9211111234722428,-0.07165111585497838,0.8950275794751235,-0.024848187532013455,0.4451608076964557,-0.011834477019068777,-0.206451153800817,0.8269309362051906,1.5227687410722117,0.7520495497546813,0.0,0.7166361365311995,1.628466192480144,0.4949983702763059,0.21185243445620966,1.2661691647846864,1.8461527387741894,0.694474452666928,0.19764386121473207,1.0479605795830094,2.275295874478439,0.12303694653528963,-0.6754150939176632,0.5963787663786713,0.44822197055699364,0.22997101080000615,-0.3786661111174366,0.1176496221273215,-2.576810762604014,1.9887041819253535,-2.1173333704220165
131,697304.933,Right,-0.14852660424917222,0.8869705159003801,-0.13636870669236006,0.9008480250503001,-0.0377078349973186,0.43147918438320804,-0.029608586369335832,-0.2874634559801916,0.3554746149324979,0.8527351367749376,0.3917513757155784,0.0,0.6579031557016926,1.0754403969302313,0.9510825590355134,0.6084656805728459,1.1540993493595568,1.070068761114309,0.23402596804893694,0.2957309258249433,0.16757688678232574,1.3553579097735213,0.4316941190299497,-0.9252294844528631,0.8434741163352428,0.19910173743663817,0.3268834948238113,-0.24250409850859977,-0.2310818592171929,-2.0461534594905753,2.570055323960966,-1.6445029893913923
132,697338.711,Right,-0.14642878983376323,0.8848414025810871,-0.13424208181668032,0.9013678496295525,-0.03731928948848154,0.43045371508454816,-0.029203928779910956,-0.27432374948606836,0.3796559124867023,0.8370668482355876,0.3844098456610969,0.0,0.5218406098164299,1.1196838977853671,0.8221166636478761,0.5824101354829062,1.1017958061633943,1.2705138670802665,0.07239725245005557,0.2857867390183783,0.17170649238347524,1.4944420751051397,0.2481743151890825,-0.8926792783220232,0.9105016060540252,0.22891361611684635,0.35756519284573596,-0.2752545305898558,-0.20099552114752173,-2.016123120097151,2.5561658137913934,-1.7099985222260963
133,697372.489,Right,-0.14449696811409346,0.8837297053994317,-0.1330269545016377,0.9016555852696061,-0.03676056994490027,0.4299042448605599,-0.02912398153278479,-0.2628242149166839,0.27602531758021964,0.938655371620253,0.2954991703720573,0.0,0.5271393290969733,1.25017489028646,0.7932380349566923,0.6224207919507169,1.3556048719035527,1.3262206105630703,0.1327416522858087,0.30671911281883807,0.17245681887891573,1.6638506280108338,0.2721943117450345,-0.8809997568633051,0.9392153147105953,0.22879832079559215,0.400115775881702,-0.29905316372469226,-0.1983701425899483,-1.97022301687239,2.8772506495686447,-1.7436475135000766
134,697406.267,Right,-0.14238510133527804,0.8833086219858067,-0.1321112881256798,0.9017960421382659,-0.03602418815206728,0.42966780178843866,-0.029184522576779125,-0.25263005525867516,0.2806509976221214,0.9340935384006106,0.4799882028867537,0.0,0.5906212662927057,1.111043861161312,0.8903558130933029,0.6173169198224102,1.0770306543431127,1.04950757353203,0.16831655668534307,0.28208487110457087,0.09329490226900683,1.4892295861086873,0.22145421007084298,-0.8375989444226636,0.7682505178736005,0.14415750376412095,0.35420741020081525,-0.4647215679611041,-0.29608899320400733,-2.0316073277904505,-2.937699953737716,-1.8834043904724453
135,697440.044,Right,-0.13999171102733032,0.8828826917924485,-0.13127379880401796,0.9019405702661553,-0.03514383996410864,0.4294266611165954,-0.02934043187808548,-0.2117064497328314,0.24696278080286094,0.8074879994401782,0.8333572213067155,0.0,0.3542337894884189,0.9801115445923951,0.8792755616611863,0.5832846676509694,0.6714014525168546,0.7723591896896971,0.367175754286289,0.24789188797239153,0.09390447872565533,1.2564150623415773,0.40332332983001384,-0.8231022242015649,0.6271938886834585,0.28449069916730707,0.25617988189179375,-0.5579807280153976,-0.29263865467425,-1.9953653895195305,-2.763324252196915,-2.0081397139058197
136,697473.822,Right,-0.138714021420745,0.8827319451176208,-0.13090326340338063,0.9020000539274835,-0.03465386089650772,0.42933372421705013,-0.029454471472095452,-0.2001306460477542,0.29427852967846535,0.5754608065995686,0.736080819960355,0.0,0.2152087074687885,0.7230585496132478,0.8815845529840112,0.5181451976291479,0.8870191877947384,0.38860357052139705,0.5771610750879703,0.23457704837301693,0.35576780754183757,0.7806413325745378,0.6681018813435293,-0.8829183700190767,0.6171115158433604,0.1938456327809286,0.16653998083802257,-0.47962959651002524,-0.197475538680485,-1.8965581648483458,-2.7345977908231998,-1.9823354618543492
137,697507.600,Right,-0.13826825011101634,0.881553495104864,-0.13111195392017988,0.902252661062444,-0.03446017990465132,0.4288014610775777,-0.029697450806631567,-0.19151647268498903,0.30597308093178865,0.6331988368435408,0.6740549045209461,0.0,0.25315394350738574,0.7328077829133135,0.8094151981810933,0.5306397679312645,0.7257631091480032,0.374960644123032,0.6055315956862044,0.22984247098764554,0.419813465740015,0.8366416938655767,0.4995300319076401,-0.8952374779614198,0.6552706972028086,0.26298259659299283,0.21413457612818432,-0.475417803117723,-0.13274790095864814,-1.7692339173339044,-2.1003146769459042,-2.0312963042434147
138,697541.378,Right,-0.13934949523105142,0.8801824225863403,-0.13251163591532936,0.9025011160556682,-0.03470909931446103,0.4282259022495,-0.030159419517856324,-0.17918160365843214,0.22296271380491017,0.6969294725580268,0.6642490201400695,0.0,0.1369403906315334,0.6774160073982487,0.9501024478992672,0.551853915296847,0.7274113075326647,0.3544238426203816,0.5776873494444827,0.23346072116704294,0.39582103307936967,0.8776284361140685,0.506237452222559,-0.8866172484374998,0.5264576778120005,0.26518235483199026,0.16584267599473046,-0.49436598411755894,-0.08790092637566908,-1.68284632536819,-1.6064026478892726,-2.0964033758307186
139,697575.156,Right,-0.14180227098583825,0.8781919896866669,-0.13526261401286913,0.9028334497794464,-0.035317429776453906,0.42741717472797813,-0.030967722888230655,-0.20772957621703947,0.2059974220189198,0.5282772136129834,0.4104953844272332,0.0,0.29975292791050956,0.3743584500547992,0.8300804572951566,0.5188565879121882,0.9116503786941106,0.32347637373523597,0.4819716253953019,0.22512394450637405,0.4970081658063714,0.9855013347680606,0.16993792982040823,-1.014030482202549,0.3572795303364811,0.24385920675387274,0.09862961373336754,-0.09179742768820837,0.28029881255225814,-1.3025168360339368,-0.18476144277205633,-1.8887238179366732
